"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","99 - Do not change"
"@version","2.25 - Do not change"
"@author","Your Name"
"#00000","Asia"
"#00001","Africa"
"#00002","Europe"
"#00003","North America"
"#00004","South America"
"#00005","Oceania"
"#00006","I started a new job."
"#00007","Oh, thanks for letting me know!"
"#00008","My new job title's ""<0>,"" huh? Sweet."
"#00009","Different hometown"
"#00010","New dream"
"#00011","New hobby"
"#00012","New daily routine"
"#00013","New fave food"
"#00014","New fave game"
"#00015","New treasure"
"#00016","About my family..."
"#00017","About my relationships..."
"#00018","About my friends..."
"#00019","As for pets..."
"#00020","Indie Games Award"
"#00021","Fans of indie games,\nthe results are now in!"
"#00022","As usual, it was a close contest with lots of great games to pick from.\nSee you next time!"
"#00023","Card Games Award"
"#00024","Fans of card games,\nthe results are now in!"
"#00025","Every contestant had an amazing game to show.\nWhat a day! See you next time!"
"#00026","Arcade Games Award"
"#00027","Fans of arcade games,\nthe results are now in!"
"#00028","We got to see plenty of great arcade games. It was a tough choice!\nSee you next time!"
"#00029","Escape Games Award"
"#00030","Fans of escape games,\nthe results are now in!"
"#00031","That was a thrilling contest, with so many exciting escape games!\nSee you next time!"
"#00032","Kids Games Award"
"#00033","Fans of children's games,\nthe results are now in!"
"#00034","We had tons of fun judging these games today!\nSee you next time!"
"#00035","Party Games Award"
"#00036","Fans of party games,\nthe results are now in!"
"#00037","This contest felt like a party itself!\nSee you next time!"
"#00038","Newbie Games Award"
"#00039","Fans of newbie games,\nthe results are now in!"
"#00040","Visual Novels Award"
"#00041","Fans of visual novels,\nthe results are now in!"
"#00042","Took us a while to get through all these visual novels, whew!\nSee you next time!"
"#00043","Quiz Games Award"
"#00044","Fans of quiz games,\nthe results are now in!"
"#00045","Having tried all those quiz games, I've learned all sorts of useless trivia!\nSee you next time!"
"#00046","Fitness Games Award"
"#00047","Fans of fitness games,\nthe results are now in!"
"#00048","Judging these games was quite the workout!\nSee you next time!"
"#00049","Tabletop Games Award"
"#00050","Fans of tabletop games,\nthe results are now in!"
"#00051","We had great fun trying these games and I hope you did too! \nSee you next time!"
"#00052","Rhythm Games Award"
"#00053","Fans of rhythm games,\nthe results are now in!"
"#00054","I don't know about you, but I won't be able to stop bobbing my head rhythmically for the rest of the day!\nSee you next time!"
"#00055","One Button Games Award"
"#00056","Fans of one button games,\nthe results are now in!"
"#00057","It's been cool one button games galore!\nSee you next time!"
"#00058","Good Games Award"
"#00059","Fans of video games,\nthe results are now in!"
"#00060","Shooting Games Award"
"#00061","Fans of shooting games,\nthe results are now in!"
"#00062","So many excellent shooters, wow!\nSee you next time!"
"#00063","Management Sim Games Award"
"#00064","Fans of management sims,\nthe results are now in!"
"#00065","Each contestant had a great game to show!\nSee you next time!"
"#00066","Dating Sim Games Award"
"#00067","Fans of dating sims,\nthe results are now in!"
"#00068","My heart's still beating a little faster than normal after playing all those dating sims!\nSee you next time!"
"#00069","Typing Games Award"
"#00070","Fans of typing games,\nthe results are now in!"
"#00071","My typing skills have definitely improved!\nSee you next time!"
"#00072","RPG Games Award"
"#00073","Fans of RPGs,\nthe results are now in!"
"#00074","So many grand adventures and epic stories!\nSee you next time!"
"#00075","Action-Adventure Games Award"
"#00076","Fans of action-adventure games,\nthe results are now in!"
"#00077","Well, that was plenty fun, and each of the games presented had its merits.\nSee you next time!"
"#00078","Vehicle Sim Games Award"
"#00079","Fans of vehicle sims,\nthe results are now in!"
"#00080","All those vehicle sims gave me an adrenaline rush!\nSee you next time!"
"#00081","Life Sim Games Award"
"#00082","Fans of life sims,\nthe results are now in!"
"#00083","I could keep playing each of these games over and over!\nSee you next time!"
"#00084","Strategy Games Award"
"#00085","Fans of strategy games,\nthe results are now in!"
"#00086","Every one of those games was extremely engrossing!\nSee you next time!"
"#00087","Sandbox Games Award"
"#00088","Fans of sandbox games,\nthe results are now in!"
"#00089","That was a lot of incredible sandbox games!\nSee you next time!"
"#00090","National Games Grand Prix"
"#00091","Fans of domestically developed games,\nthe results are now in!"
"#00092","Worldwide Games Award"
"#00093","Fans of games from all over the world,\nthe results are now in!"
"#00094","Kairo Games Award"
"#00095","Don't hold your breath any longer,\nthe results are now in!"
"#00096","The Monster Company"
"#00097","Monster GO<br>The Trading Game<br>Masters Arena"
"#00098","Circle Enigma"
"#00099","Last Reverie<br>Dragon Adventure<br>Near Automatica"
"#00100","Wintendo"
"#00101","Wildlife Crossing<br>Ameba Festival<br>Pocket Bivouac"
"#00102","Con Ami"
"#00103","Silent Mill<br>Pro Upgrade Soccer<br>Metal Sphere"
"#00104","Wondrous"
"#00105","Harvest Boon<br>Good Eater<br>Valhalla Warriors"
"#00106","Dotcom"
"#00107","Blue Hedgehog<br>Mobsters<br>Virtual Diva"
"#00108","Nextone"
"#00109","Maple Saga<br>Overheat<br>Terra"
"#00110","Clapcom"
"#00111","Bad Resident<br>Sobbing Demon<br>Monster Banter"
"#00112","Level-10"
"#00113","Professor Clayton<br>Fantasy Existence Online<br>Watch Masters"
"#00114","Digi Art"
"#00115","Draco Rage<br>Badge of Honor<br>Galaxy Wars"
"#00116","Bananaco"
"#00117","The Idolhero<br>Spirit Calibre<br>Ace Combo"
"#00118","Popstar Games"
"#00119","Red Redemption<br>Big Car Theft<br>Pax Mayne"
"#00120","Triple C"
"#00121","Cooking Mom<br>Candy Smash<br>Cavern Story"
"#00122","Good Games Co."
"#00123","Pro Poker<br>Castlemania<br>Fatally Framed"
"#00124","Algo-rhythm"
"#00125","Guitar Champions<br>Dance Prance Revo<br>Drum Master"
"#00126","Kowai Games"
"#00127","Generation Warriors<br>Nob's Ambition<br>Jockey 2000"
"#00128","Atlas"
"#00129","Super Mecha Wars<br>Long Title RPG<br>Long Title RPG: The Sequel"
"#00130","Comsoft"
"#00131","Brilliant Barrister<br>Puzzle Quiz<br>Ultimate Versus"
"#00132","Sporty Games"
"#00133","Super Bass Fishing<br>Basketball Ballers<br>Casual Golf"
"#00134","Digital Empire"
"#00135","Sword of Mama<br>Chocobird Online<br>Just Because"
"#00136","Loading Fun"
"#00137","Tales of Things<br>Racket and Clunk<br>Titandrop"
"#00138","Play Now"
"#00139","Mushroom Farm<br>World With Tanks<br>Android Rebellion"
"#00140","Cyber Life"
"#00141","Assassin's Dogma<br>Witchman<br>World Craft"
"#00142","Love Compiling"
"#00143","Date Date<br>Cute Crystal<br>Love Shooter"
"#00144","Arcana System"
"#00145","BlueBlaze Battle<br>Guilty Versus<br>Fighterz"
"#00146","Clever Coders"
"#00147","Alchemist's Atelier<br>Dragon's Clown<br>Mycraft"
"#00148","Closed Doors"
"#00149","Multitrack Drifting<br>Big Bots Attack<br>Aim & Shoot"
"#00150","Minority"
"#00151","Side-Scrolling Adventure<br>Urbanization V<br>Tactical Defense"
"#00152","Try-It-All"
"#00153","Cardboard Battlers EXP<br>Sneaky Ninja<br>Aged Scrolls"
"#00154","Qte"
"#00155","Candy Flower Girls: Sparkle!<br>Girls on Stage: Moonlight Revue<br>Love Wars Saga"
"#00156","Hit or Miss"
"#00157","Magic: The Collection<br>Seaweed Plantation Deluxe<br>The Ballerina Simulator"
"#00158","Absolute Adventure"
"#00159","Tomb Robber<br>Not Yet Charted<br>The Legend of Selma"
"#00160","Maniaxxx"
"#00161","Hungry Zombies<br>Naval Operations<br>Hamburger Chef"
"#00162","Team B"
"#00163","Robot Cat<br>I, Samurai<br>Soccer Players Vs Heroes"
"#00164","Miniature Software"
"#00165","Splashoon<br>Bayonet Witch<br>Fort Right"
"#00166","Smash Hits"
"#00167","2 Million Ronin<br>Moisture Strike EX<br>Attack on Triton"
"#00168","Tap & Slide"
"#00169","Chickens Attack<br>Unemployment Simulator<br>Puzzle & Doggies"
"#00170","Quick Release"
"#00171","Investigations 3<br>Dental Chronicles<br>Prince and that Girl in Glasses"
"#00172","Escapism"
"#00173","Police Puppies<br>House Ownership Sim for Millennials<br>An Offer You Could Refuse"
"#00174","Code Ninjas"
"#00175","Beach Ball Fighting Game<br>Ninja Sidestory<br>Foreign Samurai Wizard"
"#00176","Fourth Wall"
"#00177","Horses Racing Cars<br>Massive Feudal Battle<br>Game Studio Sim"
"#00178","Anything Goes"
"#00179","Kairobot's Adventures<br>Spies, Kings and Poker<br>Kairobot Returns"
"#00180","Kairobot Labs"
"#00181","Dragon Sphere<br>Samurai Ninja Sushi Wrestlers 3<br>Sumo Wrestling Dragon"
"#00182","Press START"
"#00183","Digital Dragons<br>Average Boy Saves World<br>Crash Racing"
"#00184","Fine Code"
"#00185","Dragon's Bakery<br>Pony Princess<br>Tax Return Simulator"
"#00186","Active Gaming"
"#00187","Get Fit With Dragons<br>Fantasy Fitness<br>Chess & Aerobics"
"#00188","Kung Foo"
"#00189","Legendary Potion Brewer<br>Falling Blocks<br>Bankruptcy Adventure"
"#00190","Your Turn"
"#00191","Point & Click<br>Online Dungeon<br>Unsolvable Mysteries"
"#00192","Mechanical Minds"
"#00193","Aliens Vs Vikings<br>Puzzle Portals<br>Extreme Racing EX"
"#00194","Banzai Mamco Mobile"
"#00195","Arcade Hero Returns<br>Sword, Sometimes Gun, Online<br>Lots of Ninjas"
"#00196","Imaginary Ducks"
"#00197","Unreal Estate Agency<br>Castle Builders<br>Bouncy Blobs"
"#00198","Subversion"
"#00199","Sporty Wizards<br>Happy Zombie Town<br>Giant Robot Solitaire"
"#00200","Kumax Games"
"#00201","Pet Bear<br>Bear Attacks<br>Bear Vs Giant Lizard"
"#00202","Chimpan Studios"
"#00203","Banana Plantation<br>Monkey Kong<br>Donkey Island"
"#00204","Ackbar Software"
"#00205","Oil Magnate's Adventure<br>Oil Magnate's Empire<br>Cooking with Oil"
"#00206","Pumpkin Productions"
"#00207","Vegetable Espionage<br>Pumpkin Horror Night<br>Pumpkin Mystery"
"#00208","Wairosoft"
"#00209","Gacha Game<br>Microtransaction Manager<br>It's All DLC"
"#00210","Scripted Stories"
"#00211","School Life Horror<br>First Love! Dragon!<br>Romancing Android"
"#00212","Ham Ham"
"#00213","Plum Wars<br>Cat Finder<br>Biz Builder Deluxe"
"#00214","A celebratory pizza party was held."
"#00215","A game I developed, <game>, reached 10,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00216","That's enough players to fill a stadium!"
"#00217","A game I developed, <game>, reached 50,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00218","That's more than I can count on my fingers!"
"#00219","A game I developed, <game>, reached 100,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00220","A celebratory pleasure boat party was held."
"#00221","A game I developed, <game>, reached 200,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00222","That's like the whole population of my hometown!"
"#00223","A game I developed, <game>, reached 500,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00224","A celebratory fireworks display was held."
"#00225","A game I developed, <game>, reached 750,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00226","Your game's a million-selling hit!"
"#00227","A game I developed, <game>, reached 1,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00228","We've got as many players as the population of Phoenix!"
"#00229","A game I developed, <game>, reached 1,500,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00230","Two million downloads!"
"#00231","A game I developed, <game>, reached 2,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00232","We've got as many players as the population of Connecticut!"
"#00233","A game I developed, <game>, reached 3,500,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00234","We've got as many players as the population of South Carolina!"
"#00235","A game I developed, <game>, reached 5,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00236","We've got as many players as the population of Washington!"
"#00237","A game I developed, <game>, reached 7,500,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00238","We've got as many players as the population of Michigan!"
"#00239","A game I developed, <game>, reached 10,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00240","50 million downloads! That's such an abstract number to me!"
"#00241","A game I developed, <game>, reached 50,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00242","That's 1/3 of the entire population of the USA!"
"#00243","A game I developed, <game>, reached 100,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00244","Half a billion downloads! An extravagant celebratory party was held."
"#00245","A game I developed, <game>, reached 500,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00246","A billion downloads! Everyone's heard about your game by now!"
"#00247","A game I developed, <game>, reached 1,000,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00248","Two billion downloads! All the celebs are playing it!"
"#00249","A game I developed, <game>, reached 2,000,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00250","Maybe eventually the entire world will be playing it!"
"#00251","A game I developed, <game>, reached 5,000,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00252","We've got more players than the population on our planet!"
"#00253","A game I developed, <game>, reached 10,000,000,000 downloads! http://appli.kairogame.jp/?gid=99"
"#00254","Days off canceled!"
"#00255","Can't move!"
"#00256","Not getting enough sleep!"
"#00257","Bugs found!"
"#00258","Application rejected!"
"#00259","PC froze!"
"#00260","Data loss!"
"#00261","Documentation was misplaced!"
"#00262","Monitor's broken!"
"#00263","No more trains tonight!"
"#00264","Hurt right hand!"
"#00265","Eyes hurt!"
"#00266","Stiff shoulders get worse!"
"#00267","Can't use the tools!"
"#00268","Accidentally deleted data!"
"#00269","Trains are canceled!"
"#00270","A/C is broken!"
"#00271","HDD failure!"
"#00272","Internet connection lost!"
"#00273","Huge changes to game mechanics!"
"#00274","<0> can now release games!"
"#00275","You got a special bonus of <0>G!"
"#00276","You received <0> in cash!"
"#00277","You received <0> Coins!"
"#00278","You received a prize of <0> in cash!"
"#00279","Not used"
"#00280","You now have <0> staff!"
"#00281","You got <0>!"
"#00282","Woohoo! It's our first Grand Games Show Award!"
"#00283","Mentioned in a blog! Downloads should go up a bit!"
"#00284","The talk of the town! Downloads should go up a bit!"
"#00285","Popular with game geeks!<br>Downloads should go up a bit!"
"#00286","Mentioned in a celebrity's blog! Downloads should go up a bit!"
"#00287","Mentioned by a TV personality! Downloads should go up a bit!"
"#00288","Mentioned in a pop idol's blog! Downloads should go up a bit!"
"#00289","Mentioned on the radio! Downloads should go up a bit!"
"#00290","Mentioned on TV! Downloads should go up a bit!"
"#00291","Popular in the big cities! Downloads should go up a bit!"
"#00292","Featured on the radio! Downloads should go up a bit!"
"#00293","Featured in a TV program!<br>Downloads should go up a bit!"
"#00294","Featured in a famous TV program!<br>Downloads should go up a bit!"
